id,country_id:id,code,name
state_my_1,base.my,Kuala Lumpur,Kuala Lumpur
state_my_2,base.my,Labuan,Labuan
state_my_3,base.my,Putrajaya,Putrajaya
state_my_4,base.my,Johor,Johor
state_my_5,base.my,Kedah,Kedah
state_my_6,base.my,Kelantan,Kelantan
state_my_7,base.my,Malacca,Malacca
state_my_8,base.my,Negeri Sembelan,Negeri Sembelan
state_my_9,base.my,Pahang,Pahang
state_my_10,base.my,Perak,Perak
state_my_11,base.my,Perlis,Perlis
state_my_12,base.my,Penang,Penang
state_my_13,base.my,Sabah,Sabah
state_my_14,base.my,Sarawak,Sarawak
state_my_15,base.my,Selangor,Selangor
state_my_16,base.my,Terengganu,Terengganu
